"";"Chrzest ognia";"COVID-19";"Czas pogardy";"Dragon Ball GT";"Dragon Ball Super";"Dragon Ball Z";"Dragon Ball";"Gra o Tron";"Grypa hiszpanka";"Honda Cicic VII";"Honda Civic IX";"Honda Civic VI";"Honda Civic VIII";"Krew elfów";"Nawa³nica mieczy. Krew i z³oto";"Nawa³nica mieczy. Stal i œnieg";"Ptasia grypa";"Starcie Królów";"Œwiñska grypa";"Wie¿a jaskó³ki"
"absolutny";0;0;0;0;0;0;0;0;0;0;0,00779795327438348;0;0;0,0028761282206817;0;0;0;0;0;0
"adoptowaæ";0;0;0;0;0,000390995084880887;0,000838531125663666;0,00201990080750274;0;0;0;0;0;0;0;0;0;0;0;0;0
"aemon";0;0;0;0;0;0;0;0,00218002893745069;0;0;0;0;0;0;0;0;0;0,000438538362361368;0;0
"aemona";0;0;0;0;0;0;0;0,000718457958830872;0;0;0;0;0;0;0,00193767475693183;0;0;0,00108394676996681;0;0
"aep";0,0116558880522364;0;0,0138413670620307;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"aerysa";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,00307871000452953;0;0,000877076724722736;0;0
"agresywny";0;0;0;0,000467457829917371;0,000390995084880887;0;0;0,000359228979415436;0;0;0;0;0;0;0;0;0;0;0;0
"akcja";0;0;0;0,000396571835164366;0,000663408027110675;0,000711375029070883;0;0;0;0;0;0;0;0;0;0;0;0,000306525161041236;0;0
"akirê";0;0;0;0,000467457829917371;0;0,000838531125663666;0,00201990080750274;0;0;0;0;0;0;0;0;0;0;0;0;0
"aktualny";0;0;0;0;0;0;0;0,000914264901517533;0;0;0;0;0;0;0,00082192144951765;0,00215192594521535;0;0;0,00859973368476801;0
"aktywowaæ";0;0;0;0,00113473205632361;0;0,00305324273427147;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"akurat";0;0;0;0,000567366028161804;0;0,00101774757809049;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"alkohol";0;0;0;0,00226946411264722;0;0;0;0;0;0;0;0;0;0;0,00117590375040261;0;0;0;0;0
"alliser";0;0;0;0;0;0;0;0,00143691591766174;0;0;0;0;0;0;0,000968837378465914;0;0;0,000722631179977876;0;0
"allisera";0;0;0;0;0;0;0;0,00174402314996055;0;0;0;0;0;0;0;0;0;0,000438538362361368;0;0
"alufelga";0;0;0;0;0;0;0;0;0;0;0,00779795327438348;0;0,0057472804409816;0;0;0;0;0;0;0
"amortyzator";0;0;0;0;0;0;0;0;0;0,0121682347798072;0;0,00820229159231447;0;0;0;0;0;0;0;0
"analizowaæ";0;0;0;0,00113473205632361;0,000949122312824961;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
